number,description,type,group,unit,cost,price,onPallet
20,"Bread - Rolls, Corn",diners-club-carte-blanche,Chevrolet,video/msvideo,194,499.96,89
27,"Juice - Orange, Concentrate",jcb,GMC,application/powerpoint,248,792.52,71
33,Chocolate Bar - Smarties,americanexpress,Pontiac,video/msvideo,484,644.11,29
13,"Pork - Sausage, Medium",jcb,Porsche,audio/mpeg3,154,556.76,40
61,Drambuie,jcb,Chevrolet,application/vnd.ms-powerpoint,780,310.33,79
43,Salmon - Canned,mastercard,Mercury,audio/mpeg3,527,280.8,68
49,French Pastries,switch,Dodge,image/png,830,533.46,96
13,Sausage - Meat,jcb,Dodge,application/powerpoint,135,575.75,87
54,Chambord Royal,laser,Mitsubishi,image/pjpeg,699,136.81,23
72,Knife Plastic - White,jcb,Toyota,application/x-troff-msvideo,623,274.23,64
65,Tamarind Paste,bankcard,Ford,video/avi,768,474.24,48
36,Cheese - Cream Cheese,switch,Hyundai,application/vnd.ms-powerpoint,304,583.48,89
46,Wine - Chianti Classica Docg,jcb,Chrysler,video/avi,591,601.61,51
11,Soup - Campbells Mushroom,mastercard,Pontiac,image/png,767,529.26,63
90,Bag - Regular Kraft 20 Lb,jcb,Mercury,application/x-troff-msvideo,606,283.8,24
77,Ham Black Forest,maestro,Daewoo,application/x-msexcel,23,118.58,97
31,Appetizer - Crab And Brie,jcb,Nissan,video/msvideo,972,699.22,44
67,Soup Bowl Clear 8oz92008,solo,Mitsubishi,video/x-msvideo,98,603.47,47
81,Beef - Tenderloin Tails,jcb,Dodge,image/pjpeg,543,186.57,30
27,Island Oasis - Pina Colada,americanexpress,Chevrolet,audio/mpeg3,773,388.43,15
37,Dragon Fruit,visa,Chevrolet,image/x-tiff,632,370.18,78
46,Boogies,mastercard,Hyundai,video/x-mpeg,747,715.65,45
42,Chocolate - Mi - Amere Semi,maestro,Chevrolet,video/quicktime,937,257.14,41
55,Soup - Campbells Pasta Fagioli,visa-electron,Mercury,application/msword,693,195.34,28
38,Cabbage - Nappa,switch,Pontiac,audio/x-mpeg-3,13,867.37,70
92,Soup - Boston Clam Chowder,maestro,Honda,image/tiff,573,618.57,47
89,Lid - 3oz Med Rec,jcb,Panoz,application/excel,813,155.55,18
41,Steamers White,jcb,Ford,audio/x-mpeg-3,437,554.49,55
73,"Pepper - Green, Chili",jcb,Chevrolet,application/vnd.ms-excel,967,327.32,50
91,Sponge Cake Mix - Vanilla,diners-club-enroute,Dodge,application/x-excel,320,245.33,81
80,Grenadine,diners-club-international,Ford,image/jpeg,636,548.95,90
45,Sandwich Wrap,visa-electron,Suzuki,video/quicktime,448,448.95,26
100,Tomatillo,mastercard,Bentley,video/mpeg,808,267.28,85
43,Pastry - Banana Muffin - Mini,switch,Ford,video/quicktime,539,753.39,96
40,Lid - 16 Oz And 32 Oz,visa-electron,Dodge,video/avi,960,776.49,93
36,Creme De Banane - Marie,jcb,Ford,application/pdf,32,625.29,27
39,Wine - Baron De Rothschild,maestro,Land Rover,image/gif,603,448.51,77
84,"Crab - Blue, Frozen",americanexpress,Toyota,image/gif,335,865.68,97
85,Bamboo Shoots - Sliced,jcb,Mercedes-Benz,image/tiff,751,155.57,64
13,"Beef - Bones, Marrow",jcb,GMC,application/msword,419,793.24,42
48,"Wine - Red, Marechal Foch",visa-electron,Pontiac,application/x-excel,404,546.02,16
51,Tea - Decaf 1 Cup,mastercard,Suzuki,application/excel,293,493.98,95
76,Bouillion - Fish,jcb,Nissan,video/x-mpeg,883,112.12,30
96,"Bread - Roll, Canadian Dinner",maestro,Chevrolet,video/msvideo,63,458.72,35
74,Glove - Cutting,mastercard,Saab,image/x-tiff,66,558.17,57
64,"Orange - Canned, Mandarin",switch,Nissan,application/vnd.ms-excel,203,571.02,64
30,Sprouts - Peppercress,maestro,Ford,video/avi,516,898.36,40
52,Beer - Creemore,bankcard,Mitsubishi,video/x-mpeg,352,416.4,36
45,Table Cloth 91x91 Colour,visa-electron,Chrysler,audio/mpeg3,733,805.2,17
60,Beans - Fine,jcb,GMC,image/tiff,840,812.46,24
33,"Veal - Brisket, Provimi, Bone - In",americanexpress,Lincoln,application/x-msexcel,66,244.49,73
75,Limes,jcb,Oldsmobile,application/x-excel,231,352.36,23
90,Tequila Rose Cream Liquor,mastercard,Dodge,application/vnd.ms-powerpoint,876,163.14,6
27,Wine - Puligny Montrachet A.,solo,GMC,video/quicktime,473,726.65,92
24,Monkfish Fresh - Skin Off,americanexpress,Infiniti,application/vnd.ms-excel,247,621.2,47
87,"Cheese - Mozzarella, Shredded",instapayment,Volkswagen,video/mpeg,972,838.67,94
43,Juice Peach Nectar,maestro,Mazda,application/x-msexcel,479,467.33,93
20,"Fish - Soup Base, Bouillon",mastercard,Isuzu,video/msvideo,177,464.48,4
32,Salt And Pepper Mix - White,jcb,Land Rover,application/vnd.ms-excel,329,314.0,97
26,Broom Handle,jcb,Subaru,application/x-msexcel,787,813.22,66
